-0.180843 0.113985 1.26112 0.996871 -0.000194478 0.0790486 0.000643774	-0.180674 0.112763 1.26125 0.99688 -3.88777e-06 0.0789255 0.000628038	0.000535	0.000527
-0.180674 0.112763 1.26125 0.99688 -3.88777e-06 0.0789255 0.000628038	-0.180711 0.112836 1.26341 0.996889 1.35179e-05 0.0788115 0.000605269	0.021976	0.021932
-0.180711 0.112836 1.26341 0.996889 1.35179e-05 0.0788115 0.000605269	-0.181142 0.112851 1.26568 0.996887 -3.51603e-07 0.0788378 0.000608965	0.025448	0.025449
-0.181142 0.112851 1.26568 0.996887 -3.51603e-07 0.0788378 0.000608965	-0.181696 0.112745 1.26789 0.996881 9.03707e-06 0.078916 0.000566884	0.023634	0.023634
-0.181696 0.112745 1.26789 0.996881 9.03707e-06 0.078916 0.000566884	-0.181993 0.112864 1.27019 0.996883 2.05682e-06 0.0788898 0.000612779	0.023634	0.023635
-0.181993 0.112864 1.27019 0.996883 2.05682e-06 0.0788898 0.000612779	-0.182888 0.112952 1.27466 0.996878 -5.50508e-06 0.07896 0.000644847	0.049086	0.049087
-0.182888 0.112952 1.27466 0.996878 -5.50508e-06 0.07896 0.000644847	-0.183516 0.112927 1.27926 0.996881 -6.10732e-06 0.0789191 0.000632806	0.049086	0.049087
-0.183516 0.112927 1.27926 0.996881 -6.10732e-06 0.0789191 0.000632806	-0.183629 0.112901 1.28154 0.996888 4.18093e-06 0.0788245 0.000622912	0.023633	0.023635
-0.183629 0.112901 1.28154 0.996888 4.18093e-06 0.0788245 0.000622912	-0.184623 0.112863 1.28599 0.99688 -2.1278e-06 0.0789333 0.000605388	0.049086	0.049087
-0.184623 0.112863 1.28599 0.99688 -2.1278e-06 0.0789333 0.000605388	-0.185639 0.112968 1.29047 0.996871 -7.98727e-06 0.0790473 0.000644489	0.047268	0.047269
-0.185639 0.112968 1.29047 0.996871 -7.98727e-06 0.0790473 0.000644489	-0.185978 0.113014 1.29508 0.996882 -6.53934e-06 0.0788984 0.000659986	0.049086	0.049087
-0.185978 0.113014 1.29508 0.996882 -6.53934e-06 0.0788984 0.000659986	-0.186546 0.112952 1.29728 0.996876 3.38554e-06 0.0789811 0.000635548	0.023634	0.023635
-0.186546 0.112952 1.29728 0.996876 3.38554e-06 0.0789811 0.000635548	-0.187613 0.113011 1.3017 0.996865 -4.88555e-07 0.0791169 0.000656052	0.049085	0.049087
-0.187613 0.113011 1.3017 0.996865 -4.88555e-07 0.0791169 0.000656052	-0.188042 0.113011 1.30631 0.996874 -7.63626e-06 0.0790013 0.000653668	0.049086	0.049087
-0.188042 0.113011 1.30631 0.996874 -7.63626e-06 0.0790013 0.000653668	-0.188626 0.113086 1.31085 0.996878 -7.51459e-06 0.0789497 0.000680729	0.047268	0.04727
-0.188626 0.113086 1.31085 0.996878 -7.51459e-06 0.0789497 0.000680729	-0.18897 0.1131 1.31313 0.996879 -1.07969e-05 0.0789429 0.000684663	0.025452	0.025452
-0.18897 0.1131 1.31313 0.996879 -1.07969e-05 0.0789429 0.000684663	-0.190024 0.113099 1.31762 0.996869 -1.85084e-05 0.0790681 0.000681563	0.049086	0.049087
-0.190024 0.113099 1.31762 0.996869 -1.85084e-05 0.0790681 0.000681563	-0.190742 0.113214 1.32209 0.996869 -1.45564e-05 0.0790696 0.000723644	0.047267	0.04727
-0.190742 0.113214 1.32209 0.996869 -1.45564e-05 0.0790696 0.000723644	-0.191393 0.11326 1.32668 0.996871 -1.49052e-05 0.07904 0.000738903	0.049086	0.049087
-0.191393 0.11326 1.32668 0.996871 -1.49052e-05 0.07904 0.000738903	-0.192365 0.113125 1.33112 0.996864 -1.75596e-05 0.0791365 0.000686212	0.047268	0.047269
-0.192365 0.113125 1.33112 0.996864 -1.75596e-05 0.0791365 0.000686212	-0.192847 0.113107 1.33337 0.99686 -1.71437e-05 0.079182 0.000677868	0.025452	0.025453
-0.192847 0.113107 1.33337 0.99686 -1.71437e-05 0.079182 0.000677868	-0.193266 0.113135 1.33792 0.996869 -9.3358e-06 0.079069 0.000687524	0.047267	0.047269
-0.193266 0.113135 1.33792 0.996869 -9.3358e-06 0.079069 0.000687524	-0.194521 0.113099 1.34235 0.996853 -1.99502e-05 0.0792692 0.00067143	0.049086	0.049087
-0.194521 0.113099 1.34235 0.996853 -1.99502e-05 0.0792692 0.00067143	-0.194886 0.113202 1.34695 0.996864 -1.97439e-05 0.0791343 0.000708028	0.049086	0.049088
-0.194886 0.113202 1.34695 0.996864 -1.97439e-05 0.0791343 0.000708028	-0.195231 0.113163 1.34923 0.996864 -1.26795e-05 0.0791283 0.000692054	0.023634	0.023634
-0.195231 0.113163 1.34923 0.996864 -1.26795e-05 0.0791283 0.000692054	-0.196241 0.113131 1.35373 0.996856 -2.02352e-05 0.0792328 0.000678106	0.049085	0.049088
-0.196241 0.113131 1.35373 0.996856 -2.02352e-05 0.0792328 0.000678106	-0.196607 0.113357 1.35823 0.996866 -1.52963e-05 0.0791059 0.00076048	0.047268	0.047269
-0.196607 0.113357 1.35823 0.996866 -1.52963e-05 0.0791059 0.00076048	-0.197583 0.113232 1.36269 0.996858 -2.42963e-05 0.079201 0.000711366	0.049086	0.049087
-0.197583 0.113232 1.36269 0.996858 -2.42963e-05 0.079201 0.000711366	-0.197754 0.113297 1.36735 0.996875 -1.14766e-05 0.0789956 0.000734611	0.049086	0.049088
-0.197754 0.113297 1.36735 0.996875 -1.14766e-05 0.0789956 0.000734611	-0.198642 0.11328 1.37183 0.99687 -1.36957e-05 0.0790574 0.000726505	0.047267	0.047269
-0.198642 0.11328 1.37183 0.99687 -1.36957e-05 0.0790574 0.000726505	-0.199318 0.113209 1.37639 0.996871 -1.18911e-05 0.0790386 0.000698849	0.049086	0.049087
-0.199318 0.113209 1.37639 0.996871 -1.18911e-05 0.0790386 0.000698849	-0.200576 0.113345 1.38079 0.996856 -1.79055e-05 0.079236 0.000745459	0.049086	0.049087
-0.200576 0.113345 1.38079 0.996856 -1.79055e-05 0.079236 0.000745459	-0.201413 0.113271 1.38529 0.996852 -1.63857e-05 0.0792776 0.000717088	0.047267	0.04727
-0.201413 0.113271 1.38529 0.996852 -1.63857e-05 0.0792776 0.000717088	-0.201498 0.113298 1.38993 0.996871 -1.38636e-05 0.0790463 0.000724836	0.049086	0.049087
-0.201498 0.113298 1.38993 0.996871 -1.38636e-05 0.0790463 0.000724836	-0.202499 0.113228 1.39442 0.996863 -9.29331e-06 0.0791462 0.000698372	0.049086	0.049087
-0.202499 0.113228 1.39442 0.996863 -9.29331e-06 0.0791462 0.000698372	-0.203733 0.113314 1.39885 0.996848 -1.86226e-05 0.0793304 0.000726267	0.047267	0.04727
-0.203733 0.113314 1.39885 0.996848 -1.86226e-05 0.0793304 0.000726267	-0.203597 0.113371 1.40117 0.996862 -1.65627e-05 0.0791529 0.000745459	0.025452	0.025453
-0.203597 0.113371 1.40117 0.996862 -1.65627e-05 0.0791529 0.000745459	-0.204518 0.113356 1.40566 0.996857 -1.5961e-05 0.0792244 0.000738545	0.047268	0.047269
-0.204518 0.113356 1.40566 0.996857 -1.5961e-05 0.0792244 0.000738545	-0.20547 0.113354 1.41013 0.99685 -1.72731e-05 0.0793064 0.000735684	0.049085	0.049087
-0.20547 0.113354 1.41013 0.99685 -1.72731e-05 0.0793064 0.000735684	-0.20568 0.11343 1.41475 0.996865 -1.7656e-05 0.0791231 0.00076048	0.049086	0.049088
-0.20568 0.11343 1.41475 0.996865 -1.7656e-05 0.0791231 0.00076048	-0.206658 0.113392 1.41923 0.996857 -1.08597e-05 0.0792148 0.000745698	0.047268	0.047269
-0.206658 0.113392 1.41923 0.996857 -1.08597e-05 0.0792148 0.000745698	-0.207453 0.113589 1.42371 0.996855 -2.42336e-05 0.0792411 0.000811501	0.049085	0.049087
